2025-06-10 13:39:26,970 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:26,972 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:26,997 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:26,998 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:27,007 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,008 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,030 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,032 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,039 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:27,041 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:27,053 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,074 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,076 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,086 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,087 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,111 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,114 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,126 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,134 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,135 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,157 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,159 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,171 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,204 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,213 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,214 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,241 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,242 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,253 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,265 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,266 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,296 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,298 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,307 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,308 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,333 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,334 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,342 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,343 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,433 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,452 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,453 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,491 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,509 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,557 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:27,573 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:27,603 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:28,001 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:28,004 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:28,017 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:28,018 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:28,045 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:28,047 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:28,692 | WARNING | geocode | ❌ Geocode MISS 'Indianala, Sunflower, Mississippi': Geocoder returned None
2025-06-10 13:39:28,699 | WARNING | geocode | ❌ Final Geocode MISS 'Indianala, Sunflower, Mississippi'
2025-06-10 13:39:29,788 | WARNING | geocode | ❌ Geocode MISS 'indianala_sunflower_mississippi': Geocoder returned None
2025-06-10 13:39:29,796 | WARNING | geocode | ❌ Final Geocode MISS 'indianala_sunflower_mississippi'
2025-06-10 13:39:29,816 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:29,845 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:29,846 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:29,856 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:29,882 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:29,884 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:29,901 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:29,927 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:29,928 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:29,936 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:29,960 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:29,961 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:29,969 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:29,970 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:29,996 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:30,021 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:30,022 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:30,032 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:30,056 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:30,058 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:30,066 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:30,091 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:30,092 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:30,104 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:30,105 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:30,133 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:30,134 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:30,143 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:30,167 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:30,169 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:30,176 | INFO | geocode | 🟦 Cache hit (nominatim)
